epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.15934,2.10522,3.14838,1.36304,0.04717,0.51839,0.03595,0.01564,1.84365,18.3755,1.2143,0.00024,0.00024,0.00024
2,15.7134,1.79386,1.42209,1.21523,0.45771,0.44816,0.39651,0.15322,2.09268,3.43716,1.35628,0.00049505,0.00049505,0.00049505
3,23.5022,1.68641,1.20265,1.20491,0.47,0.31735,0.29207,0.12611,2.04301,6.56498,1.41111,0.000744952,0.000744952,0.000744952
4,30.5258,1.78242,1.21081,1.22309,0.00135,0.1505,0.00078,0.00029,3.58556,inf,3.26612,0.000989706,0.000989706,0.000989706
5,38.7011,1.88933,1.20781,1.26397,0.00526,0.16722,0.00292,0.00087,2.9502,241.288,3.6415,0.00122931,0.00122931,0.00122931
6,46.2112,1.76199,1.14255,1.22238,0.00011,0.00334,5e-05,1e-05,nan,nan,nan,0.00146377,0.00146377,0.00146377
7,53.2382,1.77769,1.09721,1.24868,0.00041,0.04348,0.00025,8e-05,nan,nan,nan,0.00169308,0.00169308,0.00169308
8,59.9314,1.81478,1.16309,1.231,0.00057,0.0602,0.0003,0.00011,3.80644,inf,11.5507,0.0018614,0.0018614,0.0018614
9,66.399,1.72311,1.05382,1.23678,0.0187,0.00334,0.00334,0.00185,2.76607,3.878,5.65936,0.0018416,0.0018416,0.0018416
10,73.0865,1.80705,1.08746,1.23797,0.01944,0.18395,0.00719,0.00243,2.88252,330.975,7.14031,0.0018218,0.0018218,0.0018218
11,79.6701,1.73757,1.02392,1.23744,0.4937,0.33591,0.29912,0.10439,2.42046,3.14751,1.74411,0.001802,0.001802,0.001802
12,86.4303,1.79729,1.06509,1.22233,0.66297,0.22074,0.21554,0.07836,3.01092,14.2627,2.74298,0.0017822,0.0017822,0.0017822
13,92.935,1.66934,0.96564,1.1669,0.00686,0.46154,0.00461,0.00182,2.17992,inf,1.75368,0.0017624,0.0017624,0.0017624
14,99.4545,1.65669,0.96809,1.19142,0.00223,0.16388,0.00113,0.00051,3.44147,inf,3.0275,0.0017426,0.0017426,0.0017426
15,106.007,1.6561,0.91351,1.16359,0.00742,0.29766,0.00468,0.00179,2.6363,478.589,1.79513,0.0017228,0.0017228,0.0017228
16,112.748,1.6164,0.89902,1.18469,0.09873,0.55184,0.07119,0.02727,2.06218,32.7397,1.43015,0.001703,0.001703,0.001703
17,119.422,1.63897,0.90341,1.18488,0.41031,0.45151,0.29599,0.12441,2.00974,2.51073,1.40964,0.0016832,0.0016832,0.0016832
18,125.866,1.60672,0.89647,1.16282,0.47675,0.42475,0.36717,0.13754,2.07718,2.17082,1.39191,0.0016634,0.0016634,0.0016634
19,132.374,1.59757,0.82001,1.10858,0.34061,0.23077,0.18074,0.06423,2.53403,2.51221,1.62162,0.0016436,0.0016436,0.0016436
20,138.882,1.6066,0.85499,1.16781,0.04982,0.45819,0.03455,0.01241,2.09552,20.5181,1.49891,0.0016238,0.0016238,0.0016238
21,145.325,1.59437,0.82767,1.13025,0.48972,0.37793,0.33047,0.11996,2.23091,4.10715,1.50082,0.001604,0.001604,0.001604
22,151.776,1.5749,0.86133,1.14679,0.63605,0.45819,0.46381,0.18571,2.02932,2.53244,1.41576,0.0015842,0.0015842,0.0015842
23,158.404,1.53988,0.8492,1.13521,0.68492,0.47826,0.48002,0.212,1.94546,1.87615,1.40302,0.0015644,0.0015644,0.0015644
24,165.021,1.57397,0.79159,1.13538,0.65901,0.49498,0.50151,0.21518,2.02603,1.88796,1.38879,0.0015446,0.0015446,0.0015446
25,171.606,1.56685,0.79977,1.15591,0.68401,0.46823,0.47969,0.18442,2.04394,1.79156,1.42652,0.0015248,0.0015248,0.0015248
26,178.351,1.61152,0.8423,1.18856,0.68725,0.50167,0.48129,0.21352,1.93203,1.70462,1.34267,0.001505,0.001505,0.001505
27,185.153,1.57623,0.80781,1.13822,0.60288,0.38081,0.36755,0.13546,2.28913,2.00764,1.51796,0.0014852,0.0014852,0.0014852
28,191.64,1.5942,0.79973,1.10809,0.62298,0.54181,0.50995,0.23227,1.91824,2.27925,1.34838,0.0014654,0.0014654,0.0014654
29,198.39,1.49541,0.77478,1.11434,0.61264,0.51839,0.50963,0.23249,1.88486,2.29479,1.34934,0.0014456,0.0014456,0.0014456
30,205.367,1.49373,0.77955,1.07028,0.53513,0.52508,0.49809,0.2272,1.90296,1.93828,1.33864,0.0014258,0.0014258,0.0014258
31,212.101,1.44465,0.75145,1.09184,0.57939,0.47826,0.4455,0.18793,1.98445,2.00562,1.35619,0.001406,0.001406,0.001406
32,219.005,1.45167,0.7385,1.09868,0.59218,0.50992,0.50376,0.21702,1.9103,2.5039,1.31564,0.0013862,0.0013862,0.0013862
33,225.74,1.43488,0.7464,1.08939,0.57913,0.56187,0.5019,0.22345,1.95704,2.35136,1.32106,0.0013664,0.0013664,0.0013664
34,232.418,1.45924,0.73898,1.09123,0.63677,0.51505,0.49712,0.20828,1.97904,1.88955,1.35915,0.0013466,0.0013466,0.0013466
35,239.142,1.43185,0.69633,1.07758,0.65211,0.55184,0.51748,0.23013,1.9084,2.1196,1.35371,0.0013268,0.0013268,0.0013268
36,245.766,1.42582,0.71053,1.10448,0.66693,0.52905,0.49422,0.22048,1.91102,2.1682,1.36009,0.001307,0.001307,0.001307
37,252.221,1.42874,0.71651,1.07763,0.70574,0.56856,0.56824,0.25493,1.9125,1.7927,1.34627,0.0012872,0.0012872,0.0012872
38,258.863,1.42929,0.72638,1.10116,0.73409,0.54181,0.56317,0.24615,1.94449,1.71284,1.36881,0.0012674,0.0012674,0.0012674
39,265.75,1.37139,0.71119,1.07461,0.74363,0.53357,0.55905,0.24402,1.9306,1.62205,1.34257,0.0012476,0.0012476,0.0012476
40,272.354,1.3851,0.69774,1.08344,0.69564,0.52843,0.51919,0.22304,1.98968,2.11717,1.39425,0.0012278,0.0012278,0.0012278
41,279.084,1.4001,0.70523,1.0682,0.63137,0.50167,0.4765,0.19111,2.12292,1.60558,1.40017,0.001208,0.001208,0.001208
42,285.605,1.39521,0.69738,1.05565,0.71786,0.49498,0.54376,0.23067,1.97635,1.52357,1.38394,0.0011882,0.0011882,0.0011882
43,292.122,1.29041,0.65895,1.0277,0.64692,0.55184,0.53681,0.22997,1.92322,1.7294,1.36096,0.0011684,0.0011684,0.0011684
44,298.725,1.30495,0.64428,1.05566,0.71536,0.50167,0.54975,0.22953,1.92825,1.76398,1.36341,0.0011486,0.0011486,0.0011486
45,305.21,1.30344,0.65375,1.05786,0.69929,0.53512,0.55711,0.23788,1.9081,1.72923,1.3501,0.0011288,0.0011288,0.0011288
46,311.804,1.28995,0.66732,1.04304,0.65367,0.50836,0.51157,0.21445,1.99593,2.06588,1.38812,0.001109,0.001109,0.001109
47,318.819,1.31525,0.64239,1.04584,0.70318,0.56522,0.5837,0.2542,1.874,1.66186,1.34044,0.0010892,0.0010892,0.0010892
48,325.728,1.2317,0.63077,1.01624,0.73804,0.51505,0.55481,0.25086,1.92414,1.71013,1.33074,0.0010694,0.0010694,0.0010694
49,332.165,1.242,0.60258,1.00997,0.71794,0.49164,0.52998,0.23014,2.0012,1.93786,1.34887,0.0010496,0.0010496,0.0010496
50,338.966,1.25006,0.61046,1.01739,0.72426,0.49164,0.52703,0.22958,1.88371,2.13931,1.30564,0.0010298,0.0010298,0.0010298
51,345.503,1.28405,0.62322,1.0203,0.7152,0.52072,0.52132,0.22428,1.95337,1.94781,1.33522,0.00101,0.00101,0.00101
52,352.376,1.28304,0.62943,1.00756,0.73577,0.55518,0.55819,0.24836,1.89091,1.61455,1.3468,0.0009902,0.0009902,0.0009902
53,358.843,1.24879,0.5889,1.01435,0.70392,0.56522,0.55852,0.24996,1.8912,1.79891,1.33173,0.0009704,0.0009704,0.0009704
54,365.546,1.24852,0.59245,1.00743,0.64695,0.54181,0.5369,0.23219,1.97634,1.76636,1.3518,0.0009506,0.0009506,0.0009506
55,372.349,1.14347,0.56749,0.99592,0.66335,0.56676,0.55429,0.24836,1.93036,1.81263,1.34036,0.0009308,0.0009308,0.0009308
56,379.09,1.21815,0.58277,1.00852,0.68529,0.53177,0.53839,0.23649,1.95891,2.04678,1.35591,0.000911,0.000911,0.000911
57,385.829,1.18837,0.58122,0.98824,0.68176,0.48829,0.49196,0.21529,1.9805,2.03198,1.33813,0.0008912,0.0008912,0.0008912
58,392.4,1.16843,0.56817,0.99838,0.66926,0.56522,0.5457,0.25047,1.94904,1.72935,1.33376,0.0008714,0.0008714,0.0008714
59,399.194,1.16906,0.5851,0.99616,0.70884,0.53846,0.55721,0.25852,1.89397,1.67876,1.32298,0.0008516,0.0008516,0.0008516
60,406.244,1.18187,0.57258,0.98794,0.667,0.53512,0.53535,0.24164,1.95981,1.68873,1.35849,0.0008318,0.0008318,0.0008318
61,412.89,1.15318,0.55934,0.97327,0.66307,0.53846,0.51917,0.23033,1.87672,1.72327,1.35383,0.000812,0.000812,0.000812
62,419.512,1.16737,0.58104,0.98024,0.61714,0.51216,0.49055,0.21882,1.92403,1.87268,1.35806,0.0007922,0.0007922,0.0007922
63,426.198,1.10455,0.54643,0.97597,0.63867,0.51171,0.50725,0.23016,1.92899,1.94618,1.36361,0.0007724,0.0007724,0.0007724
64,432.827,1.14789,0.55131,0.97898,0.68947,0.52174,0.55474,0.25288,1.87451,1.67987,1.33845,0.0007526,0.0007526,0.0007526
65,439.283,1.08817,0.53745,0.95412,0.66212,0.59197,0.57063,0.25728,1.83659,1.65389,1.34235,0.0007328,0.0007328,0.0007328
66,446.068,1.10325,0.54433,0.97619,0.66121,0.56136,0.57469,0.25725,1.8543,1.71298,1.34929,0.000713,0.000713,0.000713
67,453.032,1.09418,0.54066,0.96368,0.66077,0.53512,0.55834,0.2473,1.86031,2.10781,1.35296,0.0006932,0.0006932,0.0006932
68,459.78,1.10662,0.53846,0.97963,0.66895,0.54181,0.54096,0.2415,1.87485,2.10688,1.35321,0.0006734,0.0006734,0.0006734
69,466.457,1.04004,0.52238,0.94947,0.6967,0.56856,0.56481,0.25246,1.89108,1.85466,1.35594,0.0006536,0.0006536,0.0006536
70,473.281,1.06789,0.51859,0.96021,0.73408,0.54472,0.56322,0.25908,1.89882,1.57149,1.3619,0.0006338,0.0006338,0.0006338
71,480.314,1.02211,0.50471,0.94389,0.74401,0.57525,0.57789,0.25397,1.91823,1.59396,1.36246,0.000614,0.000614,0.000614
72,487.299,1.01925,0.5087,0.93062,0.76165,0.55853,0.55898,0.24731,1.92122,1.70883,1.36767,0.0005942,0.0005942,0.0005942
73,494.051,0.9829,0.49442,0.92339,0.72742,0.5266,0.55115,0.24914,1.96064,1.75978,1.37228,0.0005744,0.0005744,0.0005744
74,500.659,1.03702,0.50596,0.93742,0.67909,0.54849,0.5617,0.25409,1.89198,1.86633,1.34298,0.0005546,0.0005546,0.0005546
75,507.606,0.97367,0.47732,0.93513,0.74353,0.53329,0.56044,0.24642,1.88218,1.99347,1.34168,0.0005348,0.0005348,0.0005348
76,514.151,0.98939,0.51111,0.92319,0.75983,0.53512,0.56831,0.2535,1.85825,1.84362,1.3384,0.000515,0.000515,0.000515
77,520.865,1.00293,0.49459,0.94066,0.7422,0.51996,0.57063,0.2561,1.8796,1.77271,1.34297,0.0004952,0.0004952,0.0004952
78,527.592,0.96465,0.48463,0.9224,0.73305,0.54181,0.56795,0.25813,1.8639,1.7302,1.32289,0.0004754,0.0004754,0.0004754
79,534.488,0.95417,0.47967,0.93394,0.73552,0.53945,0.57863,0.26015,1.88259,1.7096,1.32906,0.0004556,0.0004556,0.0004556
80,541.393,0.98395,0.49735,0.93284,0.6969,0.5786,0.58592,0.26813,1.87616,1.68268,1.32269,0.0004358,0.0004358,0.0004358
81,548.435,0.94987,0.47604,0.93131,0.72264,0.55184,0.58581,0.26774,1.86355,1.63222,1.32456,0.000416,0.000416,0.000416
82,555.059,0.93541,0.4793,0.9304,0.74772,0.53512,0.57898,0.27065,1.83202,1.74649,1.32203,0.0003962,0.0003962,0.0003962
83,561.897,0.9558,0.4756,0.91704,0.73578,0.53846,0.57415,0.26413,1.83916,1.77821,1.33999,0.0003764,0.0003764,0.0003764
84,568.565,0.93371,0.45683,0.92552,0.72724,0.55518,0.57858,0.26284,1.86555,1.70322,1.34395,0.0003566,0.0003566,0.0003566
85,575.467,0.90477,0.45875,0.90483,0.72234,0.53512,0.56884,0.26307,1.87097,1.70511,1.34302,0.0003368,0.0003368,0.0003368
86,582.316,0.87433,0.43814,0.90484,0.74919,0.54181,0.56813,0.26273,1.87882,1.74794,1.34509,0.000317,0.000317,0.000317
87,589.083,0.89939,0.45264,0.90594,0.75847,0.53562,0.57071,0.26494,1.88866,1.80979,1.34519,0.0002972,0.0002972,0.0002972
88,595.717,0.86865,0.43978,0.90873,0.75697,0.52086,0.56875,0.26699,1.9031,1.85553,1.34948,0.0002774,0.0002774,0.0002774
89,602.491,0.86704,0.4392,0.90052,0.76661,0.51633,0.57818,0.27279,1.91489,1.87101,1.35896,0.0002576,0.0002576,0.0002576
90,609.586,0.85062,0.42861,0.90625,0.77519,0.50836,0.57247,0.26815,1.92621,1.86923,1.36353,0.0002378,0.0002378,0.0002378
91,619.744,0.86581,0.43389,0.91561,0.76553,0.50836,0.58362,0.26823,1.90662,1.83259,1.3559,0.000218,0.000218,0.000218
92,626.353,0.86175,0.42664,0.90679,0.7166,0.53278,0.57393,0.25994,1.91781,1.78791,1.36568,0.0001982,0.0001982,0.0001982
93,632.812,0.81593,0.40598,0.91198,0.71475,0.54849,0.57653,0.26025,1.88726,1.84855,1.36235,0.0001784,0.0001784,0.0001784
94,639.341,0.83461,0.40462,0.9171,0.77838,0.52843,0.57398,0.26706,1.8589,1.83287,1.35689,0.0001586,0.0001586,0.0001586
95,645.949,0.80199,0.40508,0.89083,0.75398,0.53177,0.57248,0.26189,1.8739,1.81078,1.36399,0.0001388,0.0001388,0.0001388
96,652.68,0.81264,0.39833,0.90596,0.7402,0.55184,0.56629,0.26444,1.89031,1.7917,1.36049,0.000119,0.000119,0.000119
97,659.084,0.77433,0.39445,0.89419,0.75535,0.52663,0.56785,0.26703,1.88674,1.814,1.35704,9.92e-05,9.92e-05,9.92e-05
98,665.526,0.76537,0.3881,0.88843,0.75302,0.52508,0.56972,0.26664,1.88959,1.82717,1.35458,7.94e-05,7.94e-05,7.94e-05
99,672.307,0.74681,0.39441,0.88123,0.75922,0.5273,0.56913,0.26464,1.89261,1.84448,1.3553,5.96e-05,5.96e-05,5.96e-05
100,678.821,0.7624,0.39462,0.89257,0.75841,0.53546,0.56642,0.26408,1.89088,1.8669,1.35631,3.98e-05,3.98e-05,3.98e-05
